,Comments
2378,['toll']
2379,"['einfach', 'verliebt']"
2380,"['einloggen', 'wow', 'schreiben', 'sprachlos', 'gut', 'gemacht', 'erklrt', 'super']"
2381,"['gut', 'gemachte', 'doku', 'leider', 'beklemmende', 'analyse', 'synthese', 'erachtens', 'positive', 'beitrgt', 'steht', 'frage', 'metergro', 'raum', 'negative', 'zusammenfassung', 'bewirken', 'menschlichen', 'auswirkungen', 'planeten', 'hinlnglich', 'bekannt', 'eher', 'darum', 'gehen', 'grnde', 'fr', 'irrweg', 'irrweg', 'berwinden', 'knnten', 'eventuell', 'materialistische', 'weltbild', 'film', 'propagiert', 'mensch', 'unzulnglicher', 'krper', 'fast', 'tieren', 'bertroffen', 'bewinden', 'sicht', 'reine', 'oberflche', 'krper', 'zielt', 'kurz', 'blendet', 'komplette', 'feinstoffliche', 'ebene', 'vielfaches', 'krperlichen', 'ebene', 'ausmacht', 'stnden', 'ganz', 'superlative', 'verfgung', 'sowie', 'anzahl', 'sterne', 'universum', 'usw', 'mensch', 'virus', 'sack', 'bakterien', 'tieren', 'gibt', 'bakterien', 'denen', 'symbiose', 'leben', 'komplexere', 'arten', 'erst', 'mglich', 'gemacht', 'unterm', 'strich', 'mensch', 'snder', 'erdenwesen', 'besten', 'getilgt', 'gehrt', 'planet', 'erholt', 'wenig', 'orginell', 'erinnert', 'dunkle', 'tage', 'christlicher', 'konfessionen', 'brauchen', 'aufklrung', 'neue', 'wege', 'eingeschlagen', 'knnen']"
2382,"['sonderlich', 'pessimistisch', 'sptestens', 'anschauen', 'beitrags', 'schlu', 'gelangen', 'mensch', 'wirklich', 'rein', 'gar', 'fragilen', 'system', 'lebens', 'beitrgt', 'gegenteil', 'parasitr', 'schdigt', 'streben', 'immer', 'perfektionierttrstlich', 'ahnen', 'leben', 'erholen', 'menschheit', 'erinnern']"
2383,"['mensch', 'besser', 'kackeder', 'mensch', 'allrounder', 'deshalb', 'kleine', 'beherrschen', 'physik', 'berlegen']"
2384,"['konnte', 'ganzen', 'positiven', 'kommentare', 'gar', 'glauben', 'machwerk', 'wirklich', 'besonderes', 'mglichst', 'vielen', 'leuten', 'gesehen']"
2385,"['schne', 'doku', 'vielen', 'dank', 'dafr']"
2386,"['geisteskranken', 'religisen', 'anderwaltig', 'verwirrten', 'menschen', 'disliken', 'video', 'oo']"
2387,"['schreibe', 'selten', 'kommentare', 'schon', 'viele', 'erwhnt', 'einfach', 'sagen', 'nie', 'gut', 'ehrlich', 'video', 'gesehen', 'augen', 'kompletten', 'minuten', 'bildschirm', 'getackert', 'berall', 'gnsehaut', 'produktion', 'wirklich', 'mchtig', 'stolz']"
2388,"['vergleich', 'glas', 'meer', 'klasse']"
2389,"['ganz', 'groes', 'kino']"
2390,"['fhle', 'unbedeutend']"
2391,"['kommentar', 'mehr', 'finde', 'thema', 'gesichtet', 'nehme', 'kommentare', 'bzgl', 'videoqualitt', 'lschtknntet', 'einfach', 'beschreibung', 'kleine', 'info', 'reinsetzen', 'wann', 'beitrag', 'hheren', 'auflsungen', 'fullhd', 'wqhd', 'geben', 'wirdich', 'wette', 'frhstck', 'nachbarn', 'darauf', 'einzige', 'interessiert']"
2392,"['klein', 'dumm', 'hochmut', 'selbstberschtzung', 'irgendwann', 'genick', 'brechen', 'glaube', 'danach', 'trotzdem', 'immer', 'geht', 'film', 'zeigt', 'eigentlich', 'wissen', 'gut', 'gemacht', 'note']"
2393,"['wow', 'arte', 'doku', 'regt', 'denke', 'anbitte', 'mehr', 'davon']"
2394,"['danke', 'video', 'viele', 'positive', 'feedback', 'besteht', 'ja', 'hoffnung', 'haha', 'schleimigen', 'arroganten', 'berheblichen', 'teil', 'negativstimmen', 'anbelangt', 'wertlosen', 'kreaturen', 'wollt', 'halt', 'einfach', 'immer', 'wahrhaben', 'geht', 'einfach', 'tdlichem', 'spielen', 'lasst', 'spezies', 'einklang', 'unserer', 'umgebung', 'bringen', 'endlich', 'mal', 'ernsthaft', 'abfall', 'schtzen', 'gesetze', 'wret', 'schon', 'morgen', 'entsorgt']"
2395,"['mensch', 'bereits', 'natur', 'bewiesen', 'weltmeister', 'anpassung', 'wozu', 'einzelnen', 'disziplin', 'jeweiligen', 'experten', 'demonstriert', 'beste', 'beste', 'kombination', 'mehr', 'entwickelte', 'fhigkeiten', 'braucht', 'braucht', 'mensch', 'sieger', 'gehirn', 'kapazitt', 'sowohl', 'problemlsung', 'speicherns', 'erinnern', 'erlerntem', 'angeht', 'verschwiegen', 'warumdiese', 'doku', 'erscheint', 'zweck', 'erstellt', 'menschen', 'abzuwerten', 'gibt', 'mmn', 'korrektes', 'bild', 'wider', 'weshalb', 'beherrscht', 'mensch', 'planeten', 'unbedeutend', 'unfhig', 'gut', 'schlecht', 'frage', 'kritik', 'richtet', 'einseitigkeit', 'inhalts', 'aussage', 'dient', 'mittel', 'hauptschlich', 'auslassen', 'realer', 'strken', 'menschen', 'recht', 'scheintwir', 'menschen', 'gehren', 'grenzen', 'verwiesen', 'zerstren', 'eigene', 'lebensgrundlage', 'spezies', 'begleitenden', 'lebewesen', 'individuen', 'lage', 'problem', 'beziehen', 'lange', 'eigene', 'lebensdauer', 'bedroht', 'unempfindlich', 'fr', 'dinge', 'langfristig', 'schaden', 'dringlichkeit', 'grundstzlichen', 'nderung', 'herstellen', 'wei', 'schtze', 'video', 'versuch', 'tun', 'wrde', 'wnschen', 'dabei', 'sachlicher', 'zugeht', 'gelegen', 'kme', 'ausserirdische', 'bermacht', 'zwingt', 'bitte', 'verschwindet', 'arthur', 'c', 'clarke', 'folge', 'htte', 'lektion', 'form', 'kriegerischen', 'auseinandersetzung', 'ende', 'bedeutet', 'zumindest', 'problem', 'unserer', 'natur', 'htten', 'eventuell', 'erledigtmein', 'fazit', 'restliche', 'universum', 'abgesehen', 'greren', 'umherfliegenden', 'gegenstnden', 'fr', 'timercountdown', 'flucht', 'planeten', 'darstellen', 'irrelevant', 'fr', 'menschen', 'deshalb', 'relevevant', 'unbedeutend', 'fr', 'universum', 'relevant', 'welt', 'umgebung', 'beherrschen', 'wohl', 'beherrschen', 'verantwortung', 'schtzen']"
2396,"['ende', 'gestellte', 'frage', 'unbedeutend', 'menschheit', 'odersehr', 'schn', 'bilder', 'echt', 'super', 'inhaltlich', 'abschnitt', 'ber', 'intelligenz', 'zufrieden', 'jemand', 'meinung']"
2397,"['wahnsinnig', 'toller', 'film', 'vielen', 'dank']"
2398,"['wre', 'dafr', 'video', 'pflicht', 'fr', 'menschen', 'erinnert', 'leben', 'welt', 'krieg', 'wegen', 'religion', 'fhren', 'ha', 'neid', 'kennen', 'planeten', 'schrpfen', 'schne', 'daran', 'wissen', 'ausmachen', 'sozusagen', 'kleiner', 'infekt', 'erde', 'eingeleitet', 'fllt', 'kennet', 'jemand', 'witz', 'planeten']"
2399,"['wirklich', 'toller', 'beitraghat', 'gut', 'gefallen']"
2400,"['exponentielles', 'wachstum', 'darauf', 'folgende', 'erneuerung', 'buch', 'erdgeschichte', 'zuwenden', 'wahrscheinlich', 'unabdingbar', 'mensch', 'zyklus', 'genauso', 'unterworfen', 'bald', 'gehen', 'gerade', 'widersprchlich', 'erde', 'leben', 'ausgleichenden', 'zyklus', 'tiere', 'planzen', 'einnehmen', 'bereits', 'verlassen', 'warum', 'sttzt', 'naiven', 'glauben', 'wren', 'spitze', 'evolution', 'einzige', 'referenz', 'annahme', 'finden', 'tieren', 'wahrscheinlich', 'grte', 'schwche']"
2401,"['menschheit', 'schafft', 'selber', 'ab']"
2402,"['planeten', 'mobben', 'kranke', 'erdedenn', 'homo', 'sapiens']"
2403,"['neue', 'arte', 'super']"
2404,"['wahnsinn', 'gut']"
2405,"['schne', 'doku']"
2406,"['danke', 'macher', 'fr', 'werk']"
2407,"['nagel', 'aufm', 'kopf']"
2408,"['menschheit', 'verschwindend', 'geringer', 'teil', 'universums', 'weitem', 'einzigartig', 'denkender', 'erste', 'satz', 'beschreibung', 'ja', 'schon', 'totaler', 'unsinn', 'wer', 'schreibt', 'sowas', 'gar', 'berprftwie', 'viele', 'menschheiten', 'gibt', 'universum', 'genie', 'artevon', 'unendlichen', 'weiten', 'universumsach', 'unendliche', 'weiten', 'soso', 'wann', 'wurde', 'nachgewiesen', 'universum', 'singularitt', 'abdriftet', 'war', 'ganz', 'schnell', 'eurn', 'unendlichen', 'weiternbis', 'mikroskopisch', 'kleinen', 'einheitenwas', 'gemeint', 'wissen', 'klein', 'wirklich', 'kleiner', 'geht', 'immer', 'etwa', 'nichtvon', 'kosystemen', 'erde', 'menschlichen', 'krper', 'macht', 'episode', 'animationsserie', 'dinge', 'begreiflich', 'vorstellungskraft', 'sprengenwie', 'knnen', 'dinge', 'vorsellungskraft', 'sprengen', 'begreiflich', 'gemacht', 'magie', 'auerdem', 'vielleicht', 'unbedingt', 'dingen', 'schreiben', 'sachverhalte', 'klingt', 'weniger', 'worte', 'federn', 'kleinen', 'kindern', 'ding', 'ding', 'dong']"
2409,"['mensch', 'mngelwesen']"
2410,"['ja', 'eigentlich', 'fan', 'ffentlich', 'rechtlichen', 'nachrichten', 'politik', 'geht', 'dokus', 'wissenschaft', 'wei', 'immerhin', 'wofr', 'gez', 'gebhr', 'bezahle', 'toller', 'beitrag', 'danke']"
2411,"['berschtzen', 'power', 'mehr', 'denken']"
2412,"['bisschen', 'hart', 'antimensch', 'wissenstand', 'knnten', 'wirklich', 'einzige', 'lebensform', 'weit', 'gekommen', 'aussagen', 'ber', 'einzigartigkeit', 'bruchten', 'gesamte', 'wissen', 'universums', 'video', 'macht', 'religionen', 'standig', 'glaubensbekundung', 'positive', 'sowie', 'negative', 'annahme', 'besonderheit', 'unserer', 'art', 'zweifelsfrei', 'mglich', 'leute', 'behaupten', 'vage', 'vorstellung', 'universum', 'genau', 'gleiche', 'vage', 'vostellung', 'davon', 'woher', 'kommen', 'aussagen', 'glauben', 'unbesonderheit', 'menschen', 'tiefgrndig', 'einfach', 'pessimistisch']"
2413,"['erstklassigen', 'perfektionierten', 'film', 'gesehen', 'gemerkt', 'unbedeutend', 'eigentlich', 'film', 'zeigt', 'komplette', 'menschheit', 'erschreckend', 'unbedeutend', 'mensch', 'individuen', 'ja', 'unbedeutender', 'komplette', 'menschliche', 'spezies', 'wrde', 'welt', 'genau', 'funktionieren', 'wahrscheinlich', 'besser']"
2414,"['wahnsinns', 'doku', 'soviel', 'informationen', 'animationen', 'einmalig', 'gut']"
2415,"['muslim', 'mchte', 'muslimen', 'leben', 'mitteilenin', 'islam', 'klar', 'deutlich', 'gemacht', 'gott', 'menschen', 'menschen', 'lebewesen', 'erschaffen', 'kannvielleicht', 'gild', 'selbe', 'fr', 'christen']"
2416,"['wrde', 'dafr', 'geben', 'bewohnbare', 'planeten', 'betreten', 'deren', 'himmel', 'stern', 'tag', 'erhellt', 'mond', 'nacht', 'einlutet']"
2417,"['animationen', 'cooool']"
2418,"['zarathustra', 'sprach', 'volke']"
2419,"['einfach', 'unglaublich']"
2420,"['total', 'entspannend', 'obwohl', 'klein', 'fhle', 'schn']"
2421,"['dafr', 'zahlt', 'gerne', 'gez']"
2422,"['wunderschne', 'doku', 'danke']"
2423,"['beste', 'doku', 'arte']"
2424,"['gute', 'doku', 'genau', 'sinne', 'genau', 'denke', 'schon', 'immer', 'mensch', 'berschtzt', 'ber', 'maen']"
2425,"['neben', 'priviligierte', 'planet', 'definitiv', 'lieblingsdoku']"
2426,"['video', 'wrde', 'kollektiven', 'selbstmord', 'menschheit', 'empfehlen', 'gut', 'fr', 'planeten', 'evolution', 'wrde', 'groen', 'fehler', 'befreit', 'danke', 'fr', 'video', 'lehrt', 'demut']"
2427,"['stellt', 'menschen', 'dar', 'sooo', 'schwach', 'sei', 'tier', 'berlegen', 'sei', 'beste', 'dafr', 'fast', 'tiere', 'niemals', 'erreichen', 'knnten', 'mensch', 'universalwerkzeug', 'somit', 'abstand', 'vielseitigste', 'intelligenteste', 'lebewesen', 'niemals', 'irgendein', 'lebewesen', 'wasser', 'reichen', 'knnte']"
2428,"['schreibe', 'kommentar', 'eigentlich', 'mehr', 'leute', 'video', 'sehen']"
2429,"['mchte', 'arte', 'fr', 'erlebnis', 'bedanken', 'unfassbarer', 'film', 'einfach', 'krasse', 'fakten', 'eiskalt', 'serviert', 'nix']"
2430,"['film', 'richtig', 'deprimierend']"
2431,"['doku', 'kunstwerktolle', 'entspannungsmusik', 'hintergrundsehr', 'angenehme', 'erzhlstimmetraumhaft', 'animierte', 'bilderabsolut', 'wissenswertdanke', 'arte', 'gibt']"
2432,"['kamen', 'mehrfach', 'trnen', 'beste', 'doku', 'jeh', 'sehen', 'durfte', 'danke', 'arte']"
2433,"['tja', 'deswegen', 'scheinen', 'gtter', 'brauchen']"
2434,"['minute', 'menschen', 'weder', 'allein', 'unbedeutend']"
2435,"['pilzen', 'ansehenps', 'distanziere', 'drogenkonsumklasse', 'doku']"
2436,"['gut', 'videoaber', 'ganz', 'richtig', 'meinung', 'spezies', 'erde', 'versucht', 'bertreffen', 'strke', 'menschen', 'denken', 'laufen', 'jaguar', 'fliegen', 'vogel', 'denkt', 'kopiert', 'sachen', 'natur', 'unterschied', 'maschinen', 'gebaut', 'besser', 'denken', 'knnen', 'jaguar', 'maschinen', 'schneller', 'gebaut', 'anstrengen', 'konkurrenzfhiger', 'schwchen', 'menschheit', 'gleicht', 'mensch', 'technik', 'zb', 'lkws', 'stark', 'ameisen', 'flugzeuge', 'schnell', 'vgel', 'denke', 'schon', 'unbedeutend', 'planeten', 'verndert', 'spezies', 'zustimmen', 'zerstren', 'knnen', 'planeten', 'verwsten', 'allerdings', 'schon', 'spezies']"
2437,"['fantastisch', 'selten', 'groartige', 'dokumentation', 'gesehen', 'mensch', 'ansehen', 'animation', 'zudem', 'wirklich', 'kunstwerk']"
2438,"['besten', 'video', 'je', 'gesehen']"
2439,"['aberaberaberwir', 'knnen', 'kaputtmachen', 'spezies', 'wert', 'seinohne', 'spa', 'video', 'vermittelt', 'genau', 'richtige', 'einstellung', 'gibt', 'ja', 'leute', 'truman', 'davon', 'verwandlung', 'unserer', 'sonne', 'roten', 'riesen', 'schtzen', 'auerhalb', 'erde', 'siedeln', 'mssen', 'bezweifle', 'aufs', 'tiefste', 'erde', 'wiege', 'einfach', 'teil', 'biosphre', 'allerbesten', 'angepasst', 'nirgendwo', 'berleben', 'einfach', 'schaffen', 'schaffen', 'nirgendwo', 'berall', 'auerhalb', 'mssten', 'biosphre', 'schaffen', 'stndig', 'erhalten', 'mssen', 'erde', 'bekommen', 'quasi', 'frei', 'haus', 'braucht', 'zutun', 'immer', 'mal', 'hlfte', 'zusammenhnge', 'biosphre', 'verstanden']"
2440,"['super', 'mal', 'zeigen', 'klein', 'tolle', 'doku']"
2441,"['beitrag', 'erstellt', 'eben', 'spezies', 'anmat', 'darber', 'urteilen', 'paradox', 'oderabsoluter', 'bldsinn', 'video']"
2442,"['fehlen', 'worteein', 'wunderschner', 'film']"
2443,"['film', 'gut', 'beurteilt', 'heute', 'anfngt', 'wissen', 'vernderung', 'leben', 'beginnt', 'wrde', 'possitive', 'richtung', 'fr', 'menschliche', 'spezie', 'bedeuten', 'wnsche', 'dankeschn', 'arbeit', 'film', 'anschauen', 'ermglichten']"
2444,"['wirklich', 'schner', 'film', 'vielen', 'interessanten', 'informationendie', 'information', 'unbedeutend', 'oft', 'wiederholtmeiner', 'meinung', 'viele', 'menschen', 'dogmatisch', 'en', 'wirklichkeit', 'gefolgt', 'bibel', 'mensch', 'sei', 'krnung', 'schpfung', 'untertan', 'machendieser', 'glaube', 'natur', 'gespalten', 'ja', 'menschen']"
2445,"['super', 'doku']"
2446,['vegan']
2447,"['wow', 'doku', 'widerspiegelt', 'schon', 'lange', 'menschheit', 'denke']"
2448,"['unvedeutend', 'wren', 'wrde', 'heissen', 'spezies', 'ebenfalls', 'unbedeutend', 'gleichbedeutend', 'lebensformen', 'teil', 'ganzen', 'sollten', 'ber', 'unterschtzen']"
2449,"['groartig', 'deprimierend', 'hoffe', 'nehmen', 'viele', 'herzen']"
2450,['mega']
2451,"['ende', 'geistig', 'gekillt', 'animationstechnisch', 'meisterleistung', 'fr', 'zahle', 'gerne', 'gezgebren']"
2452,"['coole', 'animationaber', 'fake']"
2453,"['unbedeutend', 'unbedeutend', 'viele', 'wiederholungen', 'klar', 'haha']"
2454,"['danke', 'fr', 'film']"
2455,"['wahnsinn', 'unbedeutend', 'menschen', 'fr', 'wichtig', 'halten']"
2456,"['halte', 'fr', 'berschtzt', 'potential', 'ansatz', 'ausgeschpft', 'knnten', 'gttern', 'richtig', 'anstellen']"
2457,"['wauzi', 'fr', 'dokumentation']"
2458,"['tten', 'arten', 'tglich']"
2459,"['propagandastyle', 'erde', 'menschheit', 'wer', 'aufgeweckt', 'wei', 'erde', 'flach', 'riesentuschung', 'seit', 'jahren']"
2460,"['interessantund', 'traurig', 'sieht', 'menschen', 'verhalten', 'denken', 'zueinander', 'planeten', 'machenich', 'glaube', 'einzige', 'spezies', 'aussterben', 'verdient', 'rekordzeit', 'geschafft']"
2461,"['gnsehautfeeling', 'wohl', 'auchunbedeutend']"
2462,[]
2463,['schlecht']
2464,"['beste', 'dokutrifft', 'nerv', 'zeit']"
2465,"['wahnsinn', 'vielen', 'dank', 'fr', 'video']"
2466,"['fr', 'krasse', 'wende']"
2467,"['zweifel', 'animationen', 'wirklich', 'gelungen', 'verstehe', 'sinn', 'dokumentation', 'hassen']"
2468,"['mchte', 'sterben']"
2469,"['spezies', 'erkennt', 'kosmos']"
2470,"['fr', 'deutsche', 'massgeschneiderte', 'doku', 'seid', 'meister', 'darin', 'spezies', 'planeten', 'kleinzureden']"
2471,"['ganzen', 'lobpreisungen', 'fake']"
2472,"['leutebrtierchen', 'schlssel', 'sag', 'immer']"
2473,"['bewusstsein', 'besitzt', 'gefhlen', 'fhig', 'knnte', 'jemals', 'unbedeutend', 'all', 'brigen', 'lebewesen', 'planeten', 'bewusstsein', 'intelligenz', 'mensch', 'technologie', 'erschaffen', 'natur', 'ntzlich', 'lebewesen', 'mensch', 'knnte', 'obendrein', 'aussterben', 'schtzen', 'spezies', 'konnte', 'bisher', 'warum', 'mensch', 'krnken', 'ansammlung', 'mikroskopischen', 'arten', 'seinjedes', 'lebewesen', 'universum', 'fr', 'schon', 'deswegen', 'unbedeutend', 'ab', 'quasi', 'abschluss', 'doku', 'merklich', 'gewohnt', 'politischer', 'propaganda', 'durchsetzt', 'berraschend', 'herkunft', 'doku', 'bedenkt', 'eigenen', 'philosophie', 'doku', 'knnte', 'mensch', 'brigens', 'umwelt', 'komplett', 'zerstren', 'ha', 'zerstrung', 'ben', 'saus', 'braus', 'leben', 'universum', 'wrde', 'kenntnis', 'nehmen', 'je', 'existiert']"
2474,"['besten', 'dokus', 'jemals', 'gesehen', 'echt', 'absolut', 'toll']"
2475,"['mensch', 'solange', 'universum', 'erkennt']"
2476,"['beeindruckende', 'doku', 'schn', 'erzhlt', 'platz', 'nachdenken', 'wnschte', 'wrde', 'mehr', 'menschen', 'erreichen']"
2477,"['ideologischer', 'mll']"
2478,"['ameisen', 'sklaverei', 'erfunden']"
2479,"['unterhaltsam', 'gefhle', 'katharsis', 'mchte', 'hinzufgen', 'mensch', 'ideen', 'manifestieren', 'realen', 'welt', 'tut', 'wesen', 'welt', 'guten', 'natrlich', 'leider', 'schlechten', 'dennoch', 'menschen', 'besonders', 'macht', 'formt', 'umwelt', 'beherrscht', 'versteht', 'teilweise', 'mehr', 'all', 'tiere', 'jedoch', 'herum', 'geschieht', 'gut', 'frage', 'verdeutlichen', 'htte', 'hai', 'lebewesen', 'arme', 'wre', 'stande', 'umwelt', 'formen', 'zb', 'unterwasserstdte', 'mensch', 'menschen', 'grter', 'vorteil', 'meinung', 'ansammlung', 'hirn', 'spracheschrift', 'entwickeln', 'weiterreichen', 'memen', 'armen', 'beinen', 'materialisieren', 'meme', 'menschen', 'meinung', 'auszeichnet']"
2480,"['guter', 'film', 'endlich', 'mal', 'klar', 'gestellt', 'weder', 'krnung', 'schpfung', 'spitze', 'evolution', 'berlebt', 'wrde', 'tatsache', 'schieben', 'eben', 'spezialisten', 'irgendwas', 'allrounder', 'knnen', 'besten', 'knnen', 'dafr', 'teils', 'teils', 'hilfsmittel', 'denke', 'mensch', 'erwachen', 'bevor', 'erde', 'fast', 'zerstrt', 'mittel', 'wege', 'finden', 'kompensieren', 'zb', 'auswandern', 'weltall', 'planeten']"
2481,"['bullshit', 'fantasie', 'sekunde']"
2482,"['besser', 'htte', 'einfach', 'formulieren', 'knnen']"
2483,"['abstand', 'beste', 'doku', 'heute', 'leben', 'gesehen', 'danke', 'arte']"
2484,"['wow', 'geflashed', 'tolle', 'doku', 'danke']"
2485,"['wow', 'super', 'gemacht']"
2486,"['unbedeutend', 'mensch', 'gut', 'bse', 'saman', 'vater', 'erschaffen', 'religisdas', 'warheit', 'geist', 'erschafft', 'materie']"
2487,"['the', 'deepest', 'sense', 'the', 'search', 'for', 'extraterrestrial', 'life', 'be', 'a', 'search', 'youeveryone', 'can', 'contact', 'et', 'via', 'meditation', 'get', 'inform', 'love', 'and', 'light']"
2488,"['amaze', 'meisterleistung', 'minuten', 'essenz', 'lebens', 'punkt', 'gebracht', 'bravo']"
2489,"['keinerwirklich', 'gar', 'keinerarte', 'menscheit', 'unbedeutent']"
2490,"['wunderschne', 'bilder']"
2491,"['dangge', 'fr', 'gude', 'fidio', 'arte']"
2492,"['klingt', 'fr', 'jemand', 'wach', 'rtteln', 'jemand', 'ganz', 'ganz', 'weit', 'oben']"
2493,"['wer', 'information', 'zugespielt', 'mensch']"
2494,"['wundervolle', 'dokumentation', 'teils', 'trnen', 'augen', 'verfolgt', 'groartig']"
2495,"['hallowas', 'fr', 'statement', 'klar', 'przise', 'schnen', 'menschenstimme', 'wirklich', 'meisterwerk', 'sowas', 'sehe', 'leider', 'selten', 'horizont', 'club', 'toten', 'dichter', 'brauchten', 'dreifach', 'zeitich', 'sprachlos', 'lieblosigkeit', 'wohl', 'urschuld', 'haltet', 'ohren', 'steifall', 'lesen']"
2496,"['tiefgrndig', 'philosophisch', 'verbreiten']"
2497,"['groes', 'dankeschn', 'arteteam', 'danke']"
2498,"['bedeutende', 'doku', 'vielen', 'herzlichen', 'dank', 'fr', 'selbstreflektion', 'aufrtteln', 'arte', 'gibts', 'englische', 'untertitel', 'bersetzung', 'share', 'be', 'care']"
2499,"['doku', 'erweckt', 'anschein', 'mensch', 'schlechtes', 'tut', 'bewusst', 'immer', 'kontraproduktiv', 'verhlt', 'angesprochenen', 'punkte', 'doku', 'keineswegs', 'falsch', 'glaube', 'eindimensional', 'gesehen', 'natrlich', 'gibt', 'immer', 'sachen', 'verbesserungswrdig', 'dinge', 'mensch', 'hinblick', 'groe', 'ganze', 'gibt', 'viele', 'gute', 'absichten', 'versuchen', 'welt', 'erhalten', 'all', 'facetten', 'mensch', 'herausragend', 'kombination', 'fhigkeiten', 'vorraussetzungen', 'besitzt', 'einmalig', 'welt', 'bewusst', 'weltman', 'perspektive', 'titels', 'berschtzte', 'spezies', 'betracht', 'ziehen', 'geben', 'menschheit', 'bedeutung', 'finde', 'menschheit', 'berschtzte', 'spezies', 'bewusst', 'sollten', 'zusammen', 'lage', 'planeten', 'zerstren', 'zusammen', 'retten', 'knnen', 'versuchen', 'insgesamt', 'finde', 'doku', 'leider', 'gut', 'berschtzte', 'spezies', 'jedenfalls', 'fr', 'hoffe', 'allein', 'dastehe', 'meinung', 'dafr', 'leben', 'schn']"
2500,"['kompetente', 'journalisten']"
2501,"['einzige', 'art', 'fhigkeit', 'entwickelt', 'eigene', 'umwelt', 'zerstren', 'weisheit', 'entwickelt', 'tuneine', 'unglaublich', 'wahre', 'punkt', 'gebrachte', 'aussage', 'position', 'menschen', 'thron', 'welt', 'mehr', 'fragwrdig', 'erscheinen', 'lsst']"
2502,"['wrde', 'schon', 'verwundern', 'mc', 'donalds', 'erde', 'gbe']"
2503,"['liebe', 'arte']"
2504,"['fragt', 'warum', 'menschen', 'gegenseitig', 'bekriegen']"
2505,"['wunderbar', 'tiefgrndige', 'doku', 'zugleich', 'menschen', 'unfassbare', 'riesigen', 'makrokosmos', 'kleinsten', 'detail', 'zusammenhngen', 'gegenberstelltdieses', 'gesellschaftskritische', 'kunstwerk', 'berzeugt', 'starke', 'visualisierung', 'philosophischen', 'hintergrund']"
2506,"['geniale', 'doku', 'riesen', 'kompliment', 'bitte', 'beste', 'doku', 'jemals', 'gemacht', 'wurde']"
2507,"['schrecklich', 'vielfalt', 'anzusehen', 'hoffentlich', 'bald', 'ende', 'bereitet']"
2508,"['animationen', 'film', 'wunderschn', 'hoffe', 'team', 'dafr', 'verantwortlich', 'wurde', 'angemessen', 'bezahlt']"
2509,"['super', 'gute', 'animationen', 'schade', 'vielen', 'inhaltlichen', 'stellen', 'evolutionstheorie', 'bedeutung', 'einnimmt', 'schon', 'wissenschaftlich', 'mehrmals', 'eindeutig', 'widerlegt', 'worden', 'istwie', 'doku', 'berichtet', 'wissen', 'letzten', 'jahrzehnten', 'bertroffen', 'sollen', 'theorie', 'jahren', 'glauben', 'wissenschaftlich', 'gesehen', 'stand', 'kindes']"
2510,"['beste', 'doku', 'je', 'sah', 'zeigt', 'sehe', 'denke', 'fhle', 'verlink', 'morgen', 'video', 'guck', 'gleich', 'nochmal']"
2511,"['schade', 'film', 'kurz', 'greift', 'materiellen', 'stecken', 'bleibt']"
2512,"['mensch', 'natrlichen', 'anpassung', 'berlegenheit', 'dafr', 'getan', 'gott', 'schmen', 'mssen']"
2513,"['arte', 'gefllt']"
2514,"['unglaublich', 'wertvolle', 'doku', 'auerirdische', 'mehr', 'ber', 'menschen', 'erfahren', 'zeigen', 'einfach', 'doku', 'hammer', 'beitrag', 'top', 'animation', 'lediglich', 'vergleiche', 'hinsichten', 'verhltnismig']"
2515,"['tier', 'bitte', 'ichbewusstsein']"
2516,"['einzigartige', 'doku', 'chapeau', 'arte', 'genau', 'dafr', 'braucht', 'ffentlichrechtliches', 'fernsehen']"
2517,"['arte', 'arbeiten', 'fall', 'schlaue', 'menschenaffen', 'd']"
2518,"['einfach', 'grandios']"
2519,"['gigantische', 'doku', 'absolute', 'meisterwerk', 'danke', 'arte']"
2520,['meisterlich']
2521,"['komm', 'zurck', 'bs', 'mdchen']"
2522,"['propaganda', 'voll', 'fr', 'menschen', 'xd']"
2523,"['richtig', 'richtig', 'gut', 'wahr', 'verstehe', 'vieles', 'abgeht', 'stoppen']"
2524,"['mensch', 'verwirrter', 'betrunkener', 'einfach', 'harmonische', 'idyllische', 'nachaufnahme', 'hinein', 'platzt', 'sagt', 'ehy', 'rcksicht', 'verluste', 'taschen', 'stopft', 'schon', 'voll']"
2525,"['kopropaganda', 'feinsten']"
2526,"['gut', 'thema', 'musik', 'leider', 'unertrglich']"
