,Comments
97,"['vielen', 'zustimmenden', 'kommentare', 'wundern', 'schon', 'weit', 'ber', 'jahren', 'knig', 'david', 'gesagt', 'himmel', 'erzhlen', 'herrlichkeit', 'gottes', 'all', 'wunder', 'stck', 'fr', 'stck', 'geniale', 'wissenschaft', 'erkennbar', 'klar', 'lassen', 'schpfer', 'gibt', 'all', 'geschaffen', 'ausdruck', 'unendlichen', 'weisheit', 'zeigt', 'berall', 'pflanze', 'tier', 'menschen', 'ambe', 'natrlich', 'beim', 'blick', 'universum', 'mensch', 'ebenbild', 'gottes', 'szene', 'gestellt', 'planeten', 'paradies', 'geschaffen', 'untertan', 'sprich', 'verwalten', 'ja', 'mensch', 'krone', 'schpfung', 'ausgestattet', 'eigenem', 'willen', 'freie', 'willen', 'gefhrt', 'mensch', 'kaputt', 'gemacht', 'paradies', 'leid', 'elend', 'entstanden', 'istuns', 'menschen', 'tut', 'schon', 'weh', 'sehen', 'leid', 'verbreitet', 'habgier', 'kurzsichtigkeit', 'gott', 'tut', 'genauso', 'weh', 'sehen', 'geschpfe', 'wunderbare', 'schpfung', 'zerstren', 'daher', 'sohn', 'jesus', 'christus', 'welt', 'gegeben', 'widerherstellung', 'heilung', 'frieden', 'vergebung', 'snden', 'ewiges', 'leben', 'mglich', 'leben', 'perspektive', 'ewigkeit', 'verantwortung', 'schpfung', 'nchsten', 'zukunft', 'hinterlassen', 'nchsten', 'generation', 'gesellschaft', 'menschenbild', 'geprgt', 'wrde', 'wert', 'achtung', 'menschlichen', 'lebengleichzeitig', 'erschrecken', 'vielen', 'zustimmenden', 'kommentare', 'doku', 'ideologie', 'dahinter', 'ansatzweise', 'ernst', 'nimmt', 'konsequent', 'fllt', 'fundament', 'unserer', 'gesellschaft', 'moral', 'ethik', 'rechtsprechung', 'demokratie', 'wrde', 'zukunft', 'menschen', 'grundgesetz', 'kartenhaus', 'zusammen', 'einzig', 'gute', 'doku', 'sehen', 'genial', 'einzelne', 'lebewesen', 'gesamte', 'kosmos', 'funktioniert', 'immer', 'anhand', 'vllig', 'sinnlosen', 'vergleichen', 'knnen', 'weit', 'springen', 'raubkatzen', 'widerstandsfhig', 'irgendwelche', 'amben', 'behaupten', 'wren', 'vollkommen', 'unbedeutend', 'universum', 'gleichzeitig', 'anzunehmen', 'vllig', 'unbedeutende', 'spezies', 'mensch', 'knne', 'behaupten', 'bewerten', 'letztlich', 'feststellen', 'gebe', 'intelligenten', 'schpfer', 'fein', 'abgestimmten', 'sensiblen', 'system', 'trotz', 'aktuellen', 'genialen', 'erkenntnisse', 'wahrscheinlich', 'mal', 'ansatz', 'verstehen', 'wirklich', 'schnes', 'gleichzeitiges', 'trauriges', 'beispiel', 'dafr', 'worin', 'berschtzung', 'wirklich', 'besteht', 'moderne', 'turmbau', 'babel']"
98,"['fr', 'ekelhafte', 'teuer', 'produzierte', 'scheie', 'reicht', 'ja', 'heutzutage', 'fr', 'degenerierten', 'humanoiden', 'schmutz', 'paar', 'schne', 'begriffe', 'arte', 'namen', 'endlos', 'viele', 'steuereinnahmen', 'generierte', 'euronen', 'ja', 'erde', 'voller', 'profaner', 'tilgen', 'gild', 'schnell', 'mglich', 'glcklicherweise', 'nimmt', 'dezimierung', 'langsam', 'sicher', 'deutliche', 'konturen', 'eben', 'erwhnten', 'profanen', 'arbeiten', 'fleiig', 'eigenen', 'ausrottung', 'schn', 'weitergehen', 'nennt', 'ruhig', 'spinner', 'schneres', 'gesindel', 'hren', 'bekommen']"
99,"['schner', 'bericht', 'geteilt', 'herzen', 'genommen']"
100,"['einmalige', 'dokumentation', 'punkt', 'gebracht', 'verstndlich', 'komprimiert', 'berwltigt', 'zutiefst', 'dankbar', 'arte', 'mikrokosmos', 'gelandet', 'vielen', 'dank', 'vielen', 'menschen', 'richtigen', 'entscheidungen', 'getroffen', 'umzusetzen', 'danke', 'vielen', 'menschen', 'beigetragen', 'dokumentation', 'wunderbar', 'umgesetzt', 'wurde', 'danke']"
101,"['schnsten', 'dokus', 'gesehen', 'hlt', 'menschen', 'spiegel', 'erinnert', 'daran', 'vernunft', 'handeln']"
102,['interessant']
103,"['spielen', 'prinzessin', 'erbse', 'prgeln', 'klopapier']"
104,"['ameise', 'tolle', 'doku', 'nein', 'wirs']"
105,"['kleiner', 'unbedeutender', 'blauer', 'punkt', 'vielen', 'unspektakulr', 'uswbei', 'all', 'erkenntnis', 'darber', 'hinaus', 'fernsteuern', 'roboter', 'mar', 'erde', 'ausnicht', 'wahrund', 'trotzdem', 'mglich', 'drehende', 'erde', 'weltall', 'filmen', 'mond', 'kreist', 'fliegen', 'lieber', 'saturn', 'monden', 'jupiter', 'voyager', 'sogar', 'sonnensystem', 'wahrwir', 'ja', 'schon', 'fast', 'sternen', 'reisende', 'oderzu', 'dumm', 'all', 'wahrheiten', 'walt', 'disney', 'animationen', 'computer', 'grafiken', 'beweisen', 'knnen', 'nasa', 'mitarbeitern', 'sagte', 'ja', 'nasa', 'walt', 'disney', 'dokumentation', 'sogerne', 'kamera', 'zurck', 'erde', 'geschwenkt', 'htte', 'cassini', 'erde', 'verlie', 'leider', 'technisch', 'mglich', 'ganz', 'traurig', 'geguckt', 'natrlich', 'schon', 'aufregender', 'ber', 'koordinaten', 'eingabe', 'roboter', 'mar', 'steuern', 'tagen', 'bild', 'bermittelt', 'ber', 'mar', 'boden', 'brettern', 'lassenja', 'walt', 'disney', 'gebracht', 'unserer', 'vorstellungskraft', 'mann', 'walt', 'disney', 'tren', 'geffnet', 'wernher', 'braun', 'chef', 'akzeptiert', 'wohl', 'gerne', 'medien', 'schaffenden', 'zusammen', 'gearbeitet', 'atemberaubende', 'animationsfilme', 'herzustellenja', 'gebt', 'mal', 'suche', 'wernher', 'braun', 'walt', 'disney', 'klasse', 'animation', 'scifi', 'filme', 'nasa', 'prsentiert', 'walt', 'disney', 'wernher', 'braun', 'damals', 'heute', 'wahr']"
106,"['staatsoberhupter', 'mssten', 'doku', 'mal', 'sehen', 'wrden', 'tagen', 'handeln']"
